Aceson
Akiva
Alastair
Alexander
Alexander
Alistair
Aloysius
Ambrose
Anders
Anders Percy
Anderson
Arlo
Arthur
Asher
Atlas
August
Boston
Brody
Caleb
Caleb
Callum
Calvin
Cannon
Cassian
Cassius
Charles
Connor
Corbin
Cormac
Cyrus
Dante
Davis
Davis
Dean
Declan
Devin
Dylan
Edward
Elliot
Emery
Enzo
Everett
Ezra
Finn
Frederick
Gideon
Giovanni
Giovanni
Giulio
Graham
Graham
Grayson
Greyson
Harvey
Hayden
Hendrik
Henrik
Henry
Henry
Henry
Howell
Hugo
Ira
Jack
Jackson
James
James
Jaro
Jasper
Jedidiah
Joel
Joshua
Josiah
Jude 
Julian
Julian
Julian 
Julian 
Kenneth
Kent
Killian 
Knox 
Lachlan
Landon 
Lars
Lennon
Leo
Leo
Leo 
Leon
Leon
Leonidas 
Levi
Liam
Linus
Llewyn
Logan
Lucas
Lucas
Lucien
Luka
Luke
Magnus
Marcus
Mario
Matias
Matthew
Maurizio
Max
Maximilian
Miles
Mylo
Nicholas
Nolan
Olin
Oliver
Oscar
Oscar
Osric
Otto
Owen
Owen
Owen
Owen
Reece
Reid
Reid
Rex
Robin
Robin
Roee
Roland
Ronan
Royal
Ruben
Russell
Ryker
Salem
Samuel
Sandy
Sebastian
Silas
Simon
Soren
Soren
Sterling
Sullivan
Suyog
Taron
Theo
Theodore
Theodore
Theodore
Thomas
Tobias
Ulrich
Valerian
Vincent
Warren
Wesley
Wesley
Westley
Whittaker
Ada
Ada Naomi
Adamari
Adelaide
Adelaide
Amelia
Anna-Grace
Annie
Arabella
Asta
Aurelia
Aurelia
Aurora
Aveline
Avery
Avianna
Beatrix
Birdie
Blair
Brayley
Britta
Cassidy
Cassiopeia
Cecilia
Celia
Charlotte
Charlotte
Charlotte
Cirilla
Claire
Claire
Claire
Clara
Clementine
Cleo Amelia
Colette Ruth
Cora Belle
Cora Maeve
Daisy Lois
Daphne Liza
Dorothea Eden
Eden
Eden Hart
Eden Rose
Elah Rosa
Eleanor Kate
Eleanor Opal
Eleanora Sue
Eliza Juliet
Elizabeth Violet
Elliott Veronica
Elowen Blythe
Elsie Bea
Emery
Emilia Louise
Emilia Ruth
Emily
Emma
Erin
Eva Sarina
Evelyn Joyce
Fiona
Fiona Lace
Florence Harper
Francesca
Harper Alexandra
Hattie Jane
Havana
Heather Anne
Huxley Rae
Ingrid
Iris
Isabelle
Ivy
Lila Alice
Lillian
Lillian Lane
Iris Louise
Isla June
Ivy Florence
Ivy Laurel
Jamie Jo
Jisoo Lydia
Joan
Katara
Keyona Avenell
Laurasia Mars
Layla Joan
Leni
Lenore Eira
Leona Florence
Leonora Dare
Leonora Sage
Leora Simone
Levia Patz
Lilia Skye
Lillian Elaine
Lois Evelyn
Louisa
Louisa Jane
Louisa Simone
Lucy
Lucy Susanna
Luella Elizabeth
Luthien
Lydia Rae
Lyla Madison
Lyle
Lyra Maeve
Lyra Saoirse
Mabel
Maci Lynn
Madelyn Ann
Madilynn June
Madison Marie
Mae Beatrix
Maella Oakley
Maeve
Maeve Amelia
Magnolia
Magnolia Grace
Marcella Danielle
Marcella Rae
Margaret
Margaret Elowen
Margot Elise
Margot Frances
Margot Kate
Marlow Millicent
Marlowe Mae
Marzia Madura
Mathilde Elise
Maya Baker
Melody June
Meredith
Mila
Mila Jo
Mina Pearl
Miranda Ivy
Moira Anne
Molly Kate
Monroe Victoria
Natalia Elena
Nixon
Noelle Rosaleen
Noomi Ardell
Nora
Nora
Nora Laine
Nora Lillian
Nora Quinn
Nova Ivy
Oakley
Olivia Emily
Olivia Jean
Olivia Marie?
Paloma Shai
Parysa
Payton Jade
Penelope
Penelope
Penelope
Penelope Lula Belle
Penelope Rose
Petra Marigold
Phoebe
Phoebe Juliet
Piper Covi
Piper Louise
Pippa Lee
Poppy Lynn
Posey Belle
Primrose Everly
Ramona
Rebel
Rhiannon Lorette
Riley Celia
Riley Elyse
River Caroline
River Winnie
Rosalie
Rosalie
Rose Ophelia
Rosemary
Rosemary Joy
Rowan Paris
Rowen Paige
Ruby Claire
Ruth Florence
Ruth Louise
Sadie
Salieri Jolene
Sedona Aurelie
Selah
Senna Delia
Shiloh
Siobhan
Sloane
Sloane
Sloane Ivy
Sofia Lulu
Solveig
Sophia Jocelyn
Sophie
Sreja
Stella
Summer Jean-Marie
Summer Louisa
Sylvia Grace
Sylvie Suzanne
Sylvie Wren
Talia
Talia Rosanne
Ursula Josephine
Vala Freda
Valentina Yasmin
Valerie Isla
Vera Louise
Verity Ione
Violet Aurora
Violet Marie
Violet May
Vivian
Vivian Anne
Vivienne
Willow
Yara
Zelda Raelene
Zinnia
Zoey
Zoria Renee
Zyla Rey
